obs_ID,study_ID,C_mean,C_sd,C_n,T_mean,T_sd,T_n
1,"Beadman et al., 2004",106.7066667,103.1219674,4,52.58883333,92.97978695,16
2,"Creese et al., 1997",5.0035,3.443527624,27,1.0625,1.049839273,27
3,"Commito et al., 2005",0.982222222,0.959574356,6,1.138333333,1.895690713,6
4,"Commito et al., 2005",0.068571429,0.128614411,6,0.036666667,0.098,6
5,"Commito et al., 2005",0.056666667,0.141450816,6,0.053333333,0.577940725,6
6,"Commito, 1987",6.64,13.09896662,5,0.96,1.403087595,5
7,"Crooks & Khim, 1999",5.289285714,5.659365774,8,5.175,5.603565055,8
8,"Crooks & Khim, 1999",6.132,5.410120694,8,9.548,11.95817512,8
9,"Crooks & Khim, 1999",0.1,0.316403619,8,0.075,0.380768302,8
10,"Cummings et al., 1998",11.95266667,2.921822602,4,7.537666667,3.691154077,4
11,"Cummings et al., 1998",2.567,6.058829448,4,4.421833333,7.535189788,4
12,"Cummings et al., 2001",5.196216216,3.66208846,3,4.717162162,4.001971906,3
13,"Cummings et al., 2001",1.5,0.588897275,3,1.75,1.109,3
14,"Duarte et al., 2006",340.3948718,282.1507512,6,310.9220513,191.3853337,6
15,"Duarte et al., 2006",56.66153846,118.6428772,6,82,209.59544,6
16,"Escapa et al., 2004",0.955,0.717948466,30,0.995,0.980051019,30
17,"Escapa et al., 2004",4.4175,6.013322709,30,6.585,6.020137042,30
18,"Escapa et al., 2004",2.1,2.680074626,30,0.335,0.657000761,30
19,"Grabowski et al., 2005",32.914,34.744,16,149.884,115.812,16
20,"Grabowski et al., 2005",0.656,4.196,16,98.559,37.78,16
21,"Hosack et al., 2006",72.58666667,136.9671517,3,24.53,17.55879619,3
22,"Kochmann et al., 2008",866.215,894.2208518,5,2460.1675,1754.672769,5
23,"Kochmann et al., 2008",51.00316667,34.12233241,5,1187.472333,442.9383101,5
24,"Kochmann et al., 2008",58.41333333,61.28746313,5,1961.609833,698.8800397,5
25,"Koivisto & Westerbom, 2010",9.242857143,10.02493503,10,4.814285714,7.72282662,10
26,"Koivisto & Westerbom, 2010",11.6,11.56543268,10,25.7,19.3960512,10
27,"Koivisto & Westerbom, 2010",6,1.897,10,10.8,3.162,10
28,"Lohrer et al., 2013",9.033666667,8.510948929,6,15.451,14.45013128,6
29,"Mistri, 2002",8.458823529,15.54192315,3,37.32352941,66.47106202,3
30,"Mistri, 2002",39.33846154,60.1585752,3,419.1461538,760.5016744,3
31,"Mistri, 2002",0.35,0.980049999,3,3.75,9.786280524,3
32,"Norling & Kautsky, 2007",4.166666667,20.36552897,7,571.9166667,1066.248408,7
