obs_ID,study_ID,C_mean,T_mean,C_n,T_n,C_sd,T_sd
obs001,"de Chantal, M. and Granstrom, A.",167,54,30,30,27,12
obs002,"Newingham, B.A., Callaway, R.M., and BassiriRad, H.",13.42,12.95,15,15,2.401249675,2.749818176
obs003,"Meyer, G., Clare, R., and Weber, E.",26.39,31.76,6,6,6.11122696,6.56113324
obs004,Scott N. Johnson and James W. McNicol,1.034,1.027,15,14,0.437647118,0.385390711
obs005,"Tomomi Suwa, Svata M. Louda, F. Leland Russell",26.48,4.32,16,8,27.8,5.826559877
obs006,"Tomomi Suwa, Svata M. Louda, F. Leland Russell",35.3,18.59,37,30,25.12180925,16.48644898
obs007,"Min B. Rayamajhi, Paul D. Pratt, Ted D. Center, Philip W. Tipping, and Thai K. Van",0.21,0.19,8,7,0.169705627,0.158745079
obs008,"Min B. Rayamajhi, Paul D. Pratt, Ted D. Center, Philip W. Tipping, and Thai K. Van",0.41,0.13,12,12,0.311769145,0.311769145
obs009,"Johnson, S. L. and Lincoln, D. E.",5482,5102,15,15,2025.57029,1556.939305
obs010,"Wise, M. J. and Abrahamson, W. G.","82,514","77,174",15,15,24996.23452,29667.05243
obs011,"S. M. Cooper, M. K. Owens, D. E. Spalinger and T. F. Ginnett",2.34,2.39,3,3,0.415692194,0.259807621
obs012,"S. M. Cooper, M. K. Owens, D. E. Spalinger and T. F. Ginnett",12.51,14.65,3,3,8.209920828,3.845152793
obs013,"S. M. Cooper, M. K. Owens, D. E. Spalinger and T. F. Ginnett",48.19,32.72,3,3,6.321985448,3.723909236
obs014,"Fay, P.A. and Throop, H.L.",133.9,87.5,20,20,22.2265157,73.2983083
obs015,"Palacio, S., Hester, A.J., Maestro, M., and Millard, P.",0.14,0.02,60,60,0.11,0.01
obs016,"Bergman, M.",0.14,0.15,30,30,0.109544512,0.273861279
obs017,"Beguin, J., Pothier, D., and Prevost, M.",4.56,-1.52,4,4,19.74,28.1
obs018,"Beguin, J., Pothier, D., and Prevost, M.",42.63,8.62,4,4,12.04,6.04
obs019,"Norghauer, J.M., Malcolm, J.R., and Zimmerman, B.L.",0.43,0.24,14,14,0.074833148,0.037416574
obs020,"Galvez, D.A. and Tyree, M.T.",31.49,12.4,6,6,18.15071899,3.404790742
obs021,"Schmidt, S. and Baldwin, I.T.",1.6,2.5,7,7,0.264575131,1.058300524
obs022,"Wagner, D., DeFoliart, L., Doak, P., and Schneiderheinze, J.",81,46.6,20,20,45.16857315,28.17445652
obs023,"Wagner, D., DeFoliart, L., Doak, P., and Schneiderheinze, J.",85.7,65.4,20,20,55.90169944,49.1934955
obs024,"Flory, S. L. and Mattingly, W. B.",0.58,0.57,12,12,0.623538291,0.346410162
obs025,"Riginos, C. and Young, T. P.",9.6,9.1,3,3,1.212435565,1.212435565
obs026,"Tremblay, J.-P., Huot, J., and Potvin, F.",1.1,0.9,3,2,0.346410162,0.028284271
obs027,"Lewis, K. C., Bazzaz, F. A., Liao, Q., and Orians, C. A. ",1.7,1.4,3,3,0.311769145,0.190525589
obs028,"Lewis, K. C., Bazzaz, F. A., Liao, Q., and Orians, C. A. ",1.79,1.98,3,3,0.155884573,0.138564065
obs029,"Chacon, P. and Armesto, J. J.",0.1,0.07,10,10,0.09486833,0.063245553
obs030,"Retuerto, R., Fernandez-Lema, B., and Obeso, J. R.",0.17,0.19,9,9,0.03,0.015
obs031,"Retuerto, R., Fernandez-Lema, B., and Obeso, J. R.",0.556,0.566,10,10,0.050596443,0.060083276
obs032,"Retuerto, R., Fernandez-Lema, B., and Obeso, J. R.",0.58,0.6,9,9,0.06,0.03
obs033,"Carline, K. A., and Bardgett, R. D.",17.07,16.11,4,4,0.92,1.42
obs034,"Mueller, R.C., Wade, B.C., Gehring, C.A., and Whitham, T.G.",111.7,20.4,26,25,135.1240171,19.5
obs035,"Ferrero-Serrano, A., Collier, T. R., Hild, A. L., Mealor, B. A., and Smith, T.",4.6,3.6,5,5,1.833575742,1.252198067
obs036,"Midoko-Iponga, D., Krug, C.B., and Milton, S.J.",22.4,14.64,5,11,7.74,4.53
obs037,"Kauffman, M.J. and Maron, J.L.",0.32,0.08,12,12,0.207846097,0.138564065
obs038,"Sipura, M.",1.82,1.38,23,17,0.911207989,1.072007463
obs039,"Sipura, M.",17.7,11.05,22,22,8.911789944,4.362086657
obs040,"Zou, J, Siemann, E, Roger, WE, and DeWalt, SJ",15.3,11.8,80,80,12.52198067,12.52198067
obs041,"Anten, NPR, Martinez-Ramos, M, Ackerly, DD",167.2,82.4,12,12,50.22947342,21.13101985
obs042,"Walling, SZ, Zabinski, CA",8.1,4.3,10,10,1.58113883,0.632455532
obs043,"Pietikainen, A, Mikola, J, Vestberg, M, Setala, H",2.7,1.3,10,10,0.632455532,0.316227766
obs044,"Markkola, A, Kuikka, K, Rautio, P, Harma, E, Roitto, M, Tuomi, J",89.2,11.15,15,15,45.97231232,4.492660682
obs045,"Alados, CL, Giner, ML, Dehesa, L, Escos, J, Barroso, FG, Emlen, JM, Freeman, DC",14.21,12.98,136,145,2.79885691,2.528734862
obs046,"Stevens, GN, Pierson, DR, Nguyen, K, Jones, RH",0.62,0.51,5,5,0.067082039,0.04472136
obs047,"Riege, DA, Del Moral, R",27.6,-9.1,5,5,13.64001466,19.901005
obs048,"Teich, I, Cingolani, AM, Renison, D, Hensen, I, Giorgis, MA",50.6,12.9,25,25,39.5,7.5
obs049,"Kilpelainen, J, Finer, L, Neuvonen, S, Niemela, P, Domisch, T, Risch, AC, Jurgensen, MF, Ohashi, M, Sundstrom, L",89.6,104.2,49,50,53.2,52.32590181
obs050,"Vandenberghe, C, Smit, C, Pohl, M, Buttler, A, Frelechoux, F",1.61,0.8,131,88,0.686731389,0.375233261
obs051,"Bebber, D, Brown, N, Speight, M",2.2,1,24,22,3.919183588,2.814249456
obs052,"Zida, D, Sawadogo, L, Tigabu, M, Tiveau, D, Oden, PC",0.064,0.051,8,8,0.025455844,0.022627417
obs053,"Zida, D, Sawadogo, L, Tigabu, M, Tiveau, D, Oden, PC",8.5,8.4,8,8,3.959797975,5.091168825
obs054,"Barberis, IM, Dalling, JW",24,26.2,8,8,4.808326112,5.091168825
obs055,"Coggins, ST, Conover, MR",42.3,18,6,6,10.16538243,15.33380579
obs056,"Wallace, JM, Wilson, LM, Launchbaugh, KL",5.3,3.7,4,4,0.8,0.4
obs057,"Flynn, DFB, Sudderth, EA, Bazzaz, FA",0.79,1.57,10,10,0.853814968,1.138419958
obs058,"Chen, Z, Kolb, TE, Clancy, KM",55.6,43.6,118,120,14.12161464,14.2407865
obs059,"Tong, YF, Lee, SY, Morton, B",2.6,1.8,3,3,0.2,0.2
obs060,"Poveda, K, Steffan-Dewenter, I, Scheu, S, Tscharntke, T",11.2,9.5,6,6,0.979795897,1.71464282
obs061,"Kolb, TE, Dodds, KA, Clancy, KM",43.3,35.4,12,12,3.914434825,3.741229744
obs062,"Andersen, DC, Nelson, SM",0.085,0.04,16,13,0.072,0.02884441
obs063,"Andersen, DC, Nelson, SM",0.69,0.17,14,16,0.239466073,0.284
obs064,"Hellqvist, S",7.6,7.8,7,7,0.067493656,1.349873118
obs065,"Poveda, K, Steffan-Dewenter, I, Scheu, S, Tscharntke, T",33.1,21.6,10,10,6.008327554,6.640783086
obs066,"Zhu, L, Sang, W",9.4,7.8,6,6,1.469693846,1.959591794
obs067,"Zhu, L, Sang, W",13.7,13.2,6,6,5.633826408,3.674234614
obs068,"Zhu, L, Sang, W",19.1,14.3,6,6,2.449489743,2.939387691
obs069,"Treadwell, LW, and Cuda, JP",304.9,2638.6,6,2,96.26494689,835.2345299
obs070,"Pinkard, EA, Baillie, C, Patel, V, and Mohammed, CL",1.7,1.1,3,3,0.346410162,0.346410162
obs071,"Scherber, C, Crawley, MJ, and Porembski, S",18.8,0.41,6,6,0.171464282,0.146969385
obs072,"Knight, TM",-0.006,-0.05,30,30,0.275504446,0.076681158
obs073,"Knight, TM",0.014,0.049,30,30,0.120498963,0.197180121
obs074,"Knight, TM",0.03,-0.06,30,30,0.164316767,0.164316767
obs075,"Martin, CG, Mannion, C, and Schaffer, B",47.9,32,6,6,13.22724461,15.92168333
obs076,"Martin, CG, Mannion, C, and Schaffer, B",75.6,44,6,6,41.64132563,52.66402947
obs077,"Martin, CG, Mannion, C, and Schaffer, B",89.8,48.6,6,6,23.51510153,49.72464178
obs078,"van Kleunen, M, Ramponi, G, and Schmid, B",36.4,27,8,8,21.21320344,15.8391919
obs079,"Nabity, PD, Heng-Moss, TM, and Higley, LG",52.4,30.2,6,6,26.6994382,7.789377382
obs080,"Mopipi, K, Trollope, WSW, and Scogings, PF",63.6,72.9,5,5,13.64001466,11.40394669
obs081,"Borowicz, VA, Alessandro, R, Albrecht, U, and Mayer, RT",48.1,25.7,4,4,5,3.7
obs082,"Borowicz, VA, Alessandro, R, Albrecht, U, and Mayer, RT",100.6,75.9,3,3,16.80089283,10.39230485
obs083,"Den Herder, M, Virtanen, R, Roininen, H",2.3,0.04,20,20,2.683281573,2.772724292
obs084,"Howlett, BE, Davidson, DW",116,41,40,27,101.1928851,155.8845727
obs085,"Howlett, BE, Davidson, DW",207,108,16,7,124,55.56077753
obs086,"Skarpe, C, van der Wal, R",7,0.11,20,20,5.813776741,0.313049517
obs087,"Sun, Y, Ding, J, Ren, M",2.5,0.8,20,20,0.447213595,0.447213595
obs088,"Rogers, WE, Siemann, E",1.03,1.08,6,6,0.293938769,0.318433667
obs089,"Rogers, WE, Siemann, E",1.1,0.9,6,6,0.244948974,0.244948974
obs090,"Rogers, WE, Siemann, E",0.4,0.5,4,4,0.1,0.32
obs091,"Rogers, WE, Siemann, E",0.9,0.2,4,4,0.8,0.12
obs092,"Kullberg, Y, Welander, NT",0.5,0.49,15,15,0.426028168,0.387298335
obs093,"Moriondo, M, Orlandini, S, Villalobos, FJ",35.44,34.76,7,7,5.820652884,2.38117618
obs094,"Scogings, PF, Mopipi, K",173.83,111.52,20,20,18.46992149,10.24119134
obs095,"Rudgers, JA",131.4,118.5,30,30,30.73953129,27.66557816
obs096,"Romme, WH, Turner, MG, Tuskan, GA, Reed, RA",8.2,6.8,3,3,2.078460969,0.519615242
obs097,"Gomez-Aparicio, L, Zamora, R, Castro, J, Hodar, JA",29.9,30.4,3,3,4.330127019,8.313843876
obs098,"Colpetzer, K, Hough-Goldstein, J, Harkins, KR, Smith, MT",103.9,19.4,4,4,98.6,24.6
obs099,"Tercero-Bucardo, N, Kitzberger, T",8.1,11.1,4,4,3.8,4.6
obs100,"Poveda, K, Steffan-Dewenter, I, Scheu, S, Tscharntke, T",0.68,0.59,6,6,0.09797959,0.048989795
obs101,"Dormann, CF, Skarpe, C",0.54,0.42,3,3,0.245951215,0.041569219
obs102,"Dormann, CF, Skarpe, C",17.8,21.3,3,3,0.692820323,1.385640646
obs103,"Gonzales, WL, Caballero, PP, Medel, R",8.4,3.2,30,30,9.859006035,3.834057903
