obs_ID,study_ID,T_n,T_mean,T_sd,C_n,C_mean,C_sd
obs001,Bolte et al. (2013),6,188,128,6,442,211
obs002,Bolte et al. (2013),6,424,267,6,442,211
obs003,Bolte and Villanueva (2006),45,206,104,24,351,135.42
obs004,Brassard et al. (2011),3,212.95,29.9,3,125.06,43.56
obs005,Brassard et al. (2011),3,138.66,28.15,3,126.1,11.9
obs006,Brassard et al. (2011),3,33.12,7.39,3,27.64,14.88
obs007,Brassard et al. (2011),3,159.67,25.06,3,88.31,31.7
obs008,Brassard et al. (2011),3,100.81,35.62,3,92.49,3.3
obs009,Brassard et al. (2011),3,14.12,3.37,3,11.7,9.92
obs010,Brassard et al. (2011),3,184.07,22.71,3,141.68,64.39
obs011,Brassard et al. (2011),3,133.09,56.89,3,103.35,15.96
obs012,Brassard et al. (2011),3,46.57,8.18,3,47.5,22.59
obs013,Brassard et al. (2011),3,109.15,11.47,3,106.6,39.53
obs014,Brassard et al. (2011),3,88.39,37.11,3,72.08,17.13
obs015,Brassard et al. (2011),3,35.78,15.25,3,31.9,16.18
obs016,Brassard et al. (2011),3,983.28,58,3,629.07,268.26
obs017,Brassard et al. (2011),3,943.98,137.75,3,585.54,181.25
obs018,Brassard et al. (2013),3,242.86,22.79,3,154.85,12.97
obs019,Brassard et al. (2013),3,138.13,12.33,3,158.26,15.76
obs020,Brassard et al. (2013),3,92.7,25.88,3,87.02,20.59
obs021,Brassard et al. (2013),3,116.11,17.28,3,86.6,14.82
obs022,Brassard et al. (2013),3,72.22,14.96,3,67.26,10.76
obs023,Brassard et al. (2013),3,98.13,28.87,3,63.72,12.08
obs024,Brassard et al. (2013),3,254.04,38.75,3,156.48,40.74
obs025,Brassard et al. (2013),3,150.95,21.83,3,152.33,55.66
obs026,Brassard et al. (2013),3,104.11,4.08,3,79.39,4.99
obs027,Brassard et al. (2013),3,126.68,27,3,93.74,12.32
obs028,Brassard et al. (2013),3,66.26,2.25,3,59.1,3.72
obs029,Brassard et al. (2013),3,111.66,20.43,3,54.39,16.91
obs030,Brassard et al. (2013),3,186.61,9.5,3,134.33,2.91
obs031,Brassard et al. (2013),3,172.83,11.74,3,144.65,11.49
obs032,Brassard et al. (2013),3,83.53,26.4,3,77.04,16.23
obs033,Brassard et al. (2013),3,105.73,31.1,3,83.52,19.86
obs034,Brassard et al. (2013),3,50.45,14.39,3,55.62,11.76
obs035,Brassard et al. (2013),3,79.72,18.81,3,63.23,11.03
obs036,Brassard et al. (2013),3,157.55,42.85,3,130.22,11.77
obs037,Brassard et al. (2013),3,133.57,13.21,3,135.59,9.43
obs038,Brassard et al. (2013),3,97.69,12.12,3,84.93,6.73
obs039,Brassard et al. (2013),3,55.43,17.72,3,67.87,17.03
obs040,Brassard et al. (2013),3,67.04,5.9,3,58.61,3.87
obs041,Brassard et al. (2013),3,45.67,22.11,3,47.11,14.28
obs042,Brassard et al. (2013),3,168.78,21.08,3,132.7,14.29
obs043,Brassard et al. (2013),3,166.38,24.12,3,122.1,30.94
obs044,Brassard et al. (2013),3,72.65,9.65,3,48.81,10.09
obs045,Brassard et al. (2013),3,49.79,16.11,3,62.1,14.54
obs046,Brassard et al. (2013),3,45.24,11.42,3,31,14.23
obs047,Brassard et al. (2013),3,41.12,19.89,3,32.18,15.63
obs048,Brassard et al. (2013),3,222.12,37.76,3,137.53,10.21
obs049,Brassard et al. (2013),3,148.98,4.97,3,137.52,24.02
obs050,Brassard et al. (2013),3,73.5,7.8,3,64.34,18.93
obs051,Brassard et al. (2013),3,99.54,11.79,3,66.86,16.63
obs052,Brassard et al. (2013),3,52.84,16.18,3,42.98,31
obs053,Brassard et al. (2013),3,90.84,19.18,3,48.3,24.61
obs054,Brassard et al. (2013),3,1.96,0.26,3,1.5,0.28
obs055,Brassard et al. (2013),3,2.36,0.71,3,1.74,0.32
obs056,Hendriks and Bianchi (1995),10,950,2413,10,1110,1045
obs057,Hendriks and Bianchi (1995),10,550,1155,10,870,1174
obs058,Jacob et al. (2013),40,245.54,75.87,20,251.79,111.8
obs059,Jacob et al. (2013),40,233.04,55.9,20,254.46,115.8
obs060,Jacob et al. (2013),40,217.86,51.91,20,221.43,123.78
obs061,Jacob et al. (2013),40,225,71.87,20,251.79,111.8
obs062,Jacob et al. (2013),40,215.18,35.94,20,254.46,115.8
obs063,Jacob et al. (2013),40,180.36,35.94,20,221.43,123.78
obs064,Jacob et al. (2014),40,138.23,135.09,20,96.72,60.79
obs065,Jacob et al. (2014),40,110.32,85.96,20,96.72,60.79
obs066,Leuschner et al. (2001),159,267.39,312.5,21,244.89,101.59
obs067,Meinen et al. (2009a),4,474.99,37.79,4,435.02,195.28
obs068,Meinen et al. (2009a),4,478.73,18.9,4,435.02,195.28
obs069,Meinen et al. (2009b),4,355.25,35.07,4,272,20.31
obs070,Meinen et al. (2009b),4,325,46.56,4,272,20.31
obs071,Schmid  (2002),36,535,156,36,432,151
obs072,Schmid  (2002),12,482,540,12,253,194.55
obs073,Wang et al. (2014),3,354.23,27.57,3,183.08,17.23
obs074,Bauhus et al. (2000),4,380,66.6,4,259,60.27
obs075,Bauhus et al. (2000),4,291,76.7,4,259,60.27
obs076,Bauhus et al. (2000),4,262,37.44,4,259,60.27
obs077,Bauhus et al. (2000),4,113,37.44,4,128,39.7
obs078,Bauhus et al. (2000),4,141,33.58,4,128,39.7
obs079,Bauhus et al. (2000),4,156,30.06,4,128,39.7
obs080,Brandtberg et al. (2000),3,26.9,12.28,4,48.66,11.05
obs081,Brandtberg et al. (2000),3,7.6,6.32,4,19.7,31.13
obs082,Brandtberg et al. (2000),3,64.5,3.57,4,66.07,66.27
obs083,Domisch et al. (2014),6,104.26,57.33,4,189.36,55.32
obs084,Domisch et al. (2014),6,296.5,75.93,4,410.7,235.8
obs085,Domisch et al. (2014),6,86.17,15.64,4,92.55,17.02
obs086,Domisch et al. (2014),6,57.45,7.82,4,86.17,8.51
obs087,Domisch et al. (2014),6,48.94,7.82,4,41.49,6.38
obs088,Domisch et al. (2014),7,26.55,8.43,5,14.87,20.18
obs089,Domisch et al. (2014),7,97.3,22.75,5,97.2,33.99
obs090,Domisch et al. (2014),7,46.19,11.24,5,58.94,27.31
obs091,Domisch et al. (2014),7,24.42,15.45,5,23.36,16.62
obs092,Domisch et al. (2014),4,122.34,89.36,4,189.36,55.32
obs093,Domisch et al. (2014),4,227.6,65,4,410.7,235.8
obs094,Domisch et al. (2014),4,48.94,14.89,4,92.55,17.02
obs095,Domisch et al. (2014),4,26.6,6.38,4,86.17,8.51
obs096,Domisch et al. (2014),4,28.72,8.51,4,41.49,6.38
obs097,Domisch et al. (2014),6,20.18,11.71,5,14.87,20.18
obs098,Domisch et al. (2014),6,99.1,170.73,5,97.2,33.99
obs099,Domisch et al. (2014),6,45.13,18.21,5,58.94,27.31
obs100,Domisch et al. (2014),6,32.39,5.2,5,23.36,16.62
obs101,Domisch et al. (2014),2,110.64,13.54,4,189.36,55.32
obs102,Domisch et al. (2014),2,206.5,12.73,4,410.7,235.8
obs103,Domisch et al. (2014),2,60.64,9.03,4,92.55,17.02
obs104,Domisch et al. (2014),2,24.47,7.52,4,86.17,8.51
obs105,Domisch et al. (2014),2,10.64,1.5,4,41.49,6.38
obs106,Domisch et al. (2014),2,26.02,1.5,5,14.87,20.18
obs107,Domisch et al. (2014),2,129.2,23.76,5,97.2,33.99
obs108,Domisch et al. (2014),2,63.72,13.52,5,58.94,27.31
obs109,Domisch et al. (2014),2,39.29,6.01,5,23.36,16.62
obs110,Domisch et al. (2014),6,81.36,21.04,4,77.6,29.09
obs111,Domisch et al. (2014),4,107.73,29.09,4,77.6,29.09
obs112,Domisch et al. (2014),2,107.16,8.36,4,77.6,29.09
obs113,Domisch et al. (2014),6,81.36,13.29,4,115.94,26.36
obs114,Domisch et al. (2014),4,79.55,2.73,4,115.94,26.36
obs115,Domisch et al. (2014),2,93.22,4.5,4,115.94,26.36
obs116,Domisch et al. (2014),6,52.88,4.43,4,92,13.65
obs117,Domisch et al. (2014),4,45.91,3.64,4,92,13.65
obs118,Domisch et al. (2014),2,54.28,1.29,4,92,13.65
obs119,Domisch et al. (2014),6,28.47,3.32,4,47.16,3.63
obs120,Domisch et al. (2014),4,28.64,2.73,4,47.16,3.63
obs121,Domisch et al. (2014),2,59.9,1.93,4,47.16,3.63
obs122,Domisch et al. (2014),7,67.13,35.09,5,80.92,32.9
obs123,Domisch et al. (2014),6,68.97,21.4,5,80.92,32.9
obs124,Domisch et al. (2014),2,106.93,3.23,5,80.92,32.9
obs125,Domisch et al. (2014),7,56.93,25.39,5,51.49,7.2
obs126,Domisch et al. (2014),6,52.87,39.42,5,51.49,7.2
obs127,Domisch et al. (2014),2,57.4,1.29,5,51.49,7.2
obs128,Laclau et al. (2013),3,64,20.25,3,69,26.29
obs129,Laclau et al. (2013),3,54.5,17.25,3,44.7,17.03
obs130,Laclau et al. (2013),3,40.3,12.75,3,32.85,12.52
obs131,Laclau et al. (2013),3,62.3,19.72,3,45.1,17.19
obs132,Laclau et al. (2013),3,22.8,7.22,3,20.2,7.7
obs133,Laclau et al. (2013),3,58.4,18.48,3,42.45,16.18
obs134,Laclau et al. (2013),3,440,17.32,3,350,65.82
obs135,Laclau et al. (2013),3,19.9,8.25,3,17.5,5.47
obs136,Laclau et al. (2013),3,35,14.52,3,17.55,5.49
obs137,Laclau et al. (2013),3,19,7.88,3,20.5,6.41
obs138,Laclau et al. (2013),3,32.1,13.31,3,16.4,5.13
obs139,Laclau et al. (2013),3,8.5,3.53,3,6.15,1.92
obs140,Laclau et al. (2013),3,28.4,11.78,3,17.05,5.33
obs141,Lang'at et al. (2013),4,254.21,81.35,4,242.99,91.51
obs142,Lang'at et al. (2013),4,299.07,71.18,4,235.51,104.69
obs143,Lang'at et al. (2013),4,7.48,30.5,4,44.86,51.85
obs144,Lang'at et al. (2013),4,593.4,127.95,4,522.79,307.72
obs145,Lang'at et al. (2013),4,841.26,224,4,411.42,319.02
obs146,Lang'at et al. (2013),4,108.72,64,4,260.82,98.05
obs147,Lang'at et al. (2013),4,411.21,91.51,4,174.45,106.28
obs148,Lang'at et al. (2013),4,725.21,245.28,4,398.35,304.24
obs149,Lei et al. (2012),6,100.46,22.37,6,105.94,58.16
obs150,Lei et al. (2012),6,151.6,49.21,6,116.89,35.79
obs151,Lei et al. (2012),6,378.08,58.16,6,336.07,71.58
obs152,Lei et al. (2012),6,87.67,35.79,6,105.94,58.16
obs153,Lei et al. (2012),6,151.6,49.21,6,116.89,35.79
obs154,Lei et al. (2012),6,401.83,80.53,6,336.07,71.58
obs155,Lei et al. (2012),6,105.94,40.27,6,105.94,58.16
obs156,Lei et al. (2012),6,226.48,111.85,6,116.89,35.79
obs157,Lei et al. (2012),6,436.53,165.54,6,336.07,71.58
obs158,Lei et al. (2012),6,151.6,49.21,6,116.89,35.79
obs159,Lei et al. (2012),6,150.2,52.23,6,116.89,35.79
obs160,Lei et al. (2012),6,226.48,111.85,6,116.89,35.79
obs161,Liping et al. (1995),3,156,24.93,3,195.75,31.28
obs162,McKay and Malcolm (1988),12,57,24.25,12,112,48.5
obs163,Smith et al. (2013),4,53.41,29.76,4,41.89,13.72
obs164,Smith et al. (2013),4,15.98,3.17,4,25.61,13.84
obs165,Smith et al. (2013),4,10.61,14.88,4,12.07,17.03
obs166,Wang et al. (2014),3,244.78,29.3,3,183.08,17.23
obs167,Zhang et al. (2013),3,69,9.21,3,84,11.22
obs168,Zhang et al. (2013),3,90,12.02,3,84,11.22
obs169,Zhang et al. (2013),3,84,11.22,3,84,11.22
obs170,Zhang et al. (2013),3,156,9.9,3,168,10.66
obs171,Zhang et al. (2013),3,177,11.23,3,168,10.66
obs172,Zhang et al. (2013),3,165,10.47,3,168,10.66
obs173,Zhang et al. (2013),3,49,6.5,3,50,6.63
obs174,Zhang et al. (2013),3,59,7.82,3,50,6.63
obs175,Zhang et al. (2013),3,46,6.1,3,50,6.63
obs176,Zhang et al. (2013),3,43,3.51,3,38,3.11
obs177,Zhang et al. (2013),3,37,3.02,3,38,3.11
obs178,Zhang et al. (2013),3,38,3.11,3,38,3.11
obs179,Laossi et al. (2008),3,137.79,148.26,3,89.83,150.87
obs180,Laossi et al. (2008),3,456.98,153.49,3,245.06,150.89
obs181,Laossi et al. (2008),3,123.84,151.74,3,232.85,108.53
obs182,Laossi et al. (2008),3,310.47,150,3,198.84,151.75
obs183,Laossi et al. (2008),3,293.02,150,3,123.84,152.62
obs184,Laossi et al. (2008),3,101.16,151.74,3,77.62,151.75
obs185,Laossi et al. (2008),3,334.88,151.74,3,177.91,150.45
obs186,Laossi et al. (2008),3,247.67,153.49,3,200.58,152.62
obs187,Laossi et al. (2008),3,251.16,151.74,3,169.77,151.75
obs188,Laossi et al. (2008),3,177.91,148.26,3,97.09,151.32
obs189,Laossi et al. (2008),3,270.35,150,3,161.34,151.32
obs190,Mommer et al. (2010),4,473.68,52.63,4,302.63,87.28
obs191,Mommer et al. (2010),4,315.79,87.72,4,364.04,129.52
obs192,Mommer et al. (2010),4,982.46,315.79,4,644.74,185.46
obs193,Mommer et al. (2010),4,798.25,175.44,4,567.98,183.58
obs194,Mueller et al. (2013),26,868.42,563.58,26,536.84,322.04
obs195,Mueller et al. (2013),26,986.84,563.58,26,536.84,322.04
